Jurisdiction,Timestep,Date,Mean,Lower,Upper
United States - Alaska,62,2020-04-13 00:00:00,1185.7535826488136,65.99491808236426,4676.585642652713
United States - Alaska,63,2020-04-14 00:00:00,1206.5431541167748,76.45182800704474,4717.517840508068
United States - Alaska,64,2020-04-15 00:00:00,1227.742117076095,87.11505628936614,4759.257644424579
United States - Alaska,65,2020-04-16 00:00:00,1249.35853995595,97.98867366007053,4801.820988742063
United States - Alaska,66,2020-04-17 00:00:00,1271.400650270585,109.07683116679003,4845.2241221902295
United States - Alaska,67,2020-04-18 00:00:00,1293.8768377567944,120.38376175872565,4889.483614091706
United States - Alaska,68,2020-04-19 00:00:00,1316.7956575732846,131.91378190259294,4934.616360687437
United States - Alaska,69,2020-04-20 00:00:00,1340.1658335631475,143.67129323045083,4980.639591586899
United States - Alaska,70,2020-04-21 00:00:00,1363.9962615806853,155.66078422004233,5027.57087634557
United States - Alaska,71,2020-04-22 00:00:00,1388.2960128838592,167.88683190828948,5075.428131172178
United States - Alaska,72,2020-04-23 00:00:00,1413.0743375936524,180.35410363859555,5124.229625768292
United States - Alaska,73,2020-04-24 00:00:00,1438.340668221673,193.06735884262247,5173.99399030285
United States - Alaska,74,2020-04-25 00:00:00,1464.1046232673368,206.031450857223,5224.740222524303
United States - Alaska,75,2020-04-26 00:00:00,1490.3760108860088,219.2513287772223,5276.487695013081
United States - Alaska,76,2020-04-27 00:00:00,1517.1648326294974,232.73203934475444,5329.256162577159
United States - Alaska,77,2020-04-28 00:00:00,1544.4812872603336,246.47872887587693,5383.06576979353
United States - Alaska,78,2020-04-29 00:00:00,1572.335774641287,260.4966452251978,5437.937058698482
United States - Alaska,79,2020-04-30 00:00:00,1600.738899701605,274.79113978926574,5493.890976629605
United States - Alaska,80,2020-05-01 00:00:00,1629.7014764814892,289.367669549487,5550.948884222517
United States - Alaska,81,2020-05-02 00:00:00,1659.234532256348,304.2207058083526,5609.132563565381
United States - Alaska,82,2020-05-03 00:00:00,1689.3493117424068,319.27890648066153,5668.464226514299
United States - Alaska,83,2020-05-04 00:00:00,1720.0572813852727,334.6342105280701,5728.966523172783
United States - Alaska,84,2020-05-05 00:00:00,1751.3701337330965,350.2924799003171,5790.66255053852
United States - Alaska,85,2020-05-06 00:00:00,1783.299791895997,366.2596922053855,5853.575861320749
United States - Alaska,86,2020-05-07 00:00:00,1815.858414093451,382.5419429914786,5917.7304729316
United States - Alaska,87,2020-05-08 00:00:00,1849.0583982913834,399.1454480740206,5983.150876654841
United States - Alaska,88,2020-05-09 00:00:00,1882.9123869307286,416.0765459085692,6049.862046995525
United States - Alaska,89,2020-05-10 00:00:00,1917.433271749266,433.34170001054684,6117.889451214106
United States - Alaska,90,2020-05-11 00:00:00,1952.6341986985692,450.94750142271386,6187.259059048673
United States - Alaska,91,2020-05-12 00:00:00,1988.5285729579493,468.8759667031469,6257.997352629001
United States - Alaska,92,2020-05-13 00:00:00,2025.1300640472991,487.15524418149676,6330.1313365862125
United States - Alaska,93,2020-05-14 00:00:00,2062.452611040796,505.7951779660937,6403.6885483619035
United States - Alaska,94,2020-05-15 00:00:00,2100.510427883447,524.8028839274305,6478.697068720675
United States - Alaska,95,2020-05-16 00:00:00,2139.3180088125127,544.1856183345232,6555.185532470082
United States - Alaska,96,2020-05-17 00:00:00,2178.8901338858695,563.9507806250214,6633.18313939208
United States - Alaska,97,2020-05-18 00:00:00,2219.2418746194267,584.1059162299744,6712.719665390171
United States - Alaska,98,2020-05-19 00:00:00,2260.3885997357484,604.6587194543285,6793.825473856466
United States - Alaska,99,2020-05-20 00:00:00,2302.3459810260724,625.617036414261,6876.531527263035
United States - Alaska,100,2020-05-21 00:00:00,2345.129999327966,646.9888680324659,6960.869398981966
United States - Alaska,101,2020-05-22 00:00:00,2388.756950620893,668.7823730925389,7046.871285338615
United States - Alaska,102,2020-05-23 00:00:00,2433.2434522420313,691.005871353626,7134.570017902693
United States - Alaska,103,2020-05-24 00:00:00,2478.606449224697,713.6678467265261,7223.999076021846
United States - Arizona,15,2020-02-26 00:00:00,110.25685286143181,59.83104139499574,232.1739191882487
United States - Arizona,16,2020-02-27 00:00:00,222.7561150678494,116.68763587394197,462.5416621609595
United States - Arizona,17,2020-02-28 00:00:00,311.353510083499,116.68763587394197,672.9065914821622
United States - Arizona,18,2020-02-29 00:00:00,420.0391745443616,116.68763587394197,1129.94574911447
United States - Arizona,19,2020-03-01 00:00:00,583.4959840832807,116.68763587394197,1693.4963938414662
United States - Arizona,20,2020-03-02 00:00:00,783.6014008272494,116.68763587394197,2224.5422916987786
United States - Arizona,21,2020-03-03 00:00:00,1039.7386493402416,181.5935036993232,2995.9585072814552
United States - Arizona,22,2020-03-04 00:00:00,1389.400062084865,270.95159867726056,3935.209581826449
United States - Arizona,23,2020-03-05 00:00:00,1725.3879631277853,386.71839846632395,4817.651644283889
United States - Arizona,24,2020-03-06 00:00:00,1992.7168059920766,504.2797049981134,5459.986677279995
United States - Arizona,25,2020-03-07 00:00:00,2323.62560228655,628.1211290877114,6236.7529370979255
United States - Arizona,26,2020-03-08 00:00:00,2824.0907972851032,796.4399342743109,7398.79338761745
United States - Arizona,27,2020-03-09 00:00:00,3413.2665253797973,1006.3732419805875,8740.992047264814
United States - Arizona,28,2020-03-10 00:00:00,4040.3515473705074,1195.4567903115844,10238.95957008105
United States - Arizona,29,2020-03-11 00:00:00,4780.343958156823,1390.1743937877281,12053.062524034394
United States - Arizona,30,2020-03-12 00:00:00,5754.7457786693785,1658.24867872154,14105.908924886486
United States - Arizona,31,2020-03-13 00:00:00,6686.06006918624,1733.2042831726667,16433.71565961601
United States - Arizona,32,2020-03-14 00:00:00,7414.295004877666,1796.5741998260644,18576.403437630284
United States - Arizona,33,2020-03-15 00:00:00,8241.485973149025,1861.4800676514456,21183.366437114157
United States - Arizona,34,2020-03-16 00:00:00,9458.324974879031,1950.8381626293829,24188.969875658135
United States - Arizona,35,2020-03-17 00:00:00,10696.313034214507,2456.3666591902283,27012.784475521945
United States - Arizona,36,2020-03-18 00:00:00,11751.071712680881,2943.5012569440046,29345.80598150135
United States - Arizona,37,2020-03-19 00:00:00,12784.93390671705,3432.4567751992486,31551.42847011389
United States - Arizona,38,2020-03-20 00:00:00,13768.461081408774,3881.0696117974862,33567.71746379578
United States - Arizona,39,2020-03-21 00:00:00,14701.640865855043,4306.806075875279,35567.178706227474
United States - Arizona,40,2020-03-22 00:00:00,15774.230807706082,4746.364229546245,37903.9177673645
United States - Arizona,41,2020-03-23 00:00:00,16971.53691084348,5286.209763615969,40359.46178914849
United States - Arizona,42,2020-03-24 00:00:00,18313.749237567503,5844.91760958915,43466.35100862233
United States - Arizona,43,2020-03-25 00:00:00,19599.173967000293,5844.91760958915,47072.76425190636
United States - Arizona,44,2020-03-26 00:00:00,20470.059226509366,5844.91760958915,50426.044089244635
United States - Arizona,45,2020-03-27 00:00:00,20945.157936899788,5844.91760958915,52598.68469549895
United States - Arizona,46,2020-03-28 00:00:00,21768.04955302848,5844.91760958915,55188.57325541536
United States - Arizona,47,2020-03-29 00:00:00,23310.277297787536,6189.481751761937,59008.8541967038
United States - Arizona,48,2020-03-30 00:00:00,25416.879107703382,6814.988416607498,63471.946390688194
United States - Arizona,49,2020-03-31 00:00:00,27582.350139060545,7836.306987321405,67770.29943384137
United States - Arizona,50,2020-04-01 00:00:00,29350.636101943783,8360.996218479291,71734.22159979331
United States - Arizona,51,2020-04-02 00:00:00,30488.258297516404,8510.907427381544,74852.24974697287
United States - Arizona,52,2020-04-03 00:00:00,30974.560973159132,8510.907427381544,76826.8668077854
United States - Arizona,53,2020-04-04 00:00:00,31104.584070567176,8510.907427381544,77627.31334693171
United States - Arizona,54,2020-04-05 00:00:00,31815.13546289899,8510.907427381544,82654.7440808871
United States - Arizona,55,2020-04-06 00:00:00,33548.40595861949,8510.907427381544,88853.80117288405
United States - Arizona,56,2020-04-07 00:00:00,35541.72234480117,8510.907427381544,94677.91878510316
United States - Arizona,57,2020-04-08 00:00:00,36700.30499745577,8510.907427381544,98465.06092071658
United States - Arizona,58,2020-04-09 00:00:00,37844.882208603674,8510.907427381544,103340.14526879454
United States - Arizona,59,2020-04-10 00:00:00,39687.11338081235,8510.907427381544,109351.3521458825
United States - Arizona,60,2020-04-11 00:00:00,41808.14528815839,8510.907427381544,114998.98134561011
United States - Arizona,61,2020-04-12 00:00:00,43203.56509768074,9145.032366404097,118658.16552456476
United States - Arizona,62,2020-04-13 00:00:00,44335.62007239534,9709.609999195683,121040.76312906928
United States - Arizona,63,2020-04-14 00:00:00,45342.21522052735,10211.003070941199,123164.14236371059
United States - Arizona,64,2020-04-15 00:00:00,46295.264788912325,10688.680578585834,125173.57348606999
United States - Arizona,65,2020-04-16 00:00:00,47243.799187962206,11169.016053838044,127174.31398516429
United States - Arizona,66,2020-04-17 00:00:00,48160.69574093869,11633.401683717246,129108.61862174957
United States - Arizona,67,2020-04-18 00:00:00,49019.469535254735,12068.280387048599,130920.0181097674
United States - Arizona,68,2020-04-19 00:00:00,49800.207648991745,12463.397790330995,132565.79992554727
United States - Arizona,69,2020-04-20 00:00:00,50497.558545794105,12815.932048831732,134034.21024425267
United States - Arizona,70,2020-04-21 00:00:00,51136.185356164446,13138.393593150848,135377.35874016793
United States - Arizona,71,2020-04-22 00:00:00,51782.861243488296,13464.91893183382,136737.43415150515
United States - Arizona,72,2020-04-23 00:00:00,52437.39337984798,13795.559278505714,138114.64979828554
United States - Arizona,73,2020-04-24 00:00:00,53099.93035195795,14130.366492206993,139509.22168887794
United States - Arizona,74,2020-04-25 00:00:00,53770.495425850735,14469.393085527285,140916.42763400037
United States - Arizona,75,2020-04-26 00:00:00,54449.305922872154,14812.692232841697,142346.37096053865
United States - Arizona,76,2020-04-27 00:00:00,55136.409711652945,15160.317778650902,143789.26878736782
United States - Arizona,77,2020-04-28 00:00:00,55832.04041668375,15512.324246026348,145250.35061213284
United States - Arizona,78,2020-04-29 00:00:00,56536.25569801885,15868.76684516188,146729.84559713106
United States - Arizona,79,2020-04-30 00:00:00,57248.95117266444,16229.701482033139,148227.98579265847
United States - Arizona,80,2020-05-01 00:00:00,57970.47307317823,16595.184767166113,149745.00617340513
United States - Arizona,81,2020-05-02 00:00:00,58700.86077402348,16965.274024516148,151285.95862805322
United States - Arizona,82,2020-05-03 00:00:00,59440.29631112659,17333.980835396404,152846.91778051484
United States - Arizona,83,2020-05-04 00:00:00,60188.914901343414,17707.214887800743,154427.54878879222
United States - Arizona,84,2020-05-05 00:00:00,60946.96505134616,18085.152590811736,156028.099565786
United States - Arizona,85,2020-05-06 00:00:00,61714.566060050995,18467.853221788682,157648.82114869816
United States - Arizona,86,2020-05-07 00:00:00,62491.82740308322,18855.376805128803,159289.96773840586
United States - Arizona,87,2020-05-08 00:00:00,63278.88955275242,19247.78412168171,160951.79673933127
United States - Arizona,88,2020-05-09 00:00:00,64075.901674396366,19645.13671828253,162634.56879981406
United States - Arizona,89,2020-05-10 00:00:00,64883.01351023429,20047.496917405195,164338.5478529926
United States - Arizona,90,2020-05-11 00:00:00,65700.28081305484,20454.927826937328,166064.00115820035
United States - Arizona,91,2020-05-12 00:00:00,66527.92942267879,20867.493350078385,167811.19934288383
United States - Arizona,92,2020-05-13 00:00:00,67366.04332887693,21285.258195362487,169580.41644504925
United States - Arizona,93,2020-05-14 00:00:00,68214.75514765194,21708.2878868076,171371.92995624352
United States - Arizona,94,2020-05-15 00:00:00,69074.19918092072,22136.64877419258,173186.02086507733
United States - Arizona,95,2020-05-16 00:00:00,69944.51143805173,22570.40804346376,175022.97370129658
United States - Arizona,96,2020-05-17 00:00:00,70825.82965767964,23009.633727272692,176883.07658040934
United States - Arizona,97,2020-05-18 00:00:00,71718.29332980067,23454.39471564667,178766.62124887496
United States - Arizona,98,2020-05-19 00:00:00,72622.04371815245,23904.76076679374,180673.90312986288
United States - Arizona,99,2020-05-20 00:00:00,73537.223882882,24360.80251804386,182605.22136958808
United States - Arizona,100,2020-05-21 00:00:00,74463.97870350555,24822.591496927973,184560.87888423048
United States - Arizona,101,2020-05-22 00:00:00,75402.45490216416,25290.200132396683,186541.18240744548
United States - Arizona,102,2020-05-23 00:00:00,76352.80106717878,25763.70176618034,188546.4425384735
United States - Arizona,103,2020-05-24 00:00:00,77315.16767690888,26243.170664292236,190576.97379085564
United States - Arkansas,18,2020-02-29 00:00:00,224.37243416668267,117.30812424974485,444.99049272072864
United States - Arkansas,19,2020-03-01 00:00:00,385.93916843841066,117.30812424974485,873.6874617707755
United States - Arkansas,20,2020-03-02 00:00:00,469.76121524348616,117.30812424974485,1214.4963815872345
United States - Arkansas,21,2020-03-03 00:00:00,503.2274400402168,117.30812424974485,1467.0015908632938
United States - Arkansas,22,2020-03-04 00:00:00,585.5774656100077,117.30812424974485,1764.1615905403696
United States - Arkansas,23,2020-03-05 00:00:00,735.4053843139461,117.30812424974485,2139.1679776655583
United States - Arkansas,24,2020-03-06 00:00:00,885.5183337108207,175.58174347454985,2478.9455116030294
United States - Arkansas,25,2020-03-07 00:00:00,1004.4122463750332,232.94220109115233,2741.2807530849273
United States - Arkansas,26,2020-03-08 00:00:00,1133.4977387408824,289.7876252144589,3042.1345005703333
United States - Arkansas,27,2020-03-09 00:00:00,1309.0336672098533,354.036974113234,3465.680450949781
United States - Arkansas,28,2020-03-10 00:00:00,1487.647257976515,354.036974113234,3890.5979421199468
United States - Arkansas,29,2020-03-11 00:00:00,1617.0177810353005,354.036974113234,4271.203149784528
United States - Arkansas,30,2020-03-12 00:00:00,1761.3346727716093,354.036974113234,4696.05081119906
United States - Arkansas,31,2020-03-13 00:00:00,1932.190048506573,354.036974113234,5120.968302369226
